budget,runtime,vote_average,vote_count,popularity,release_year,release_month,roi,primary_genre,revenue
30000000.0,81.0,7.7,5415.0,21.946943,1995.0,10.0,11.4518011,Animation,373554033.0
65000000.0,104.0,6.9,2413.0,17.015539,1995.0,12.0,3.0430346,Adventure,262797249.0
16000000.0,127.0,6.1,34.0,3.859495,1995.0,12.0,4.09075975,Comedy,81452156.0
60000000.0,170.0,7.7,1886.0,17.924927,1995.0,12.0,2.123946966666667,Action,187436818.0
35000000.0,106.0,5.5,174.0,5.23158,1995.0,12.0,0.8385763142857143,Action,64350171.0
58000000.0,130.0,6.6,1194.0,14.686036,1995.0,11.0,5.072310931034483,Adventure,352194034.0
62000000.0,106.0,6.5,199.0,6.318445,1995.0,11.0,0.7399918709677419,Comedy,107879496.0
44000000.0,192.0,7.1,72.0,5.092,1995.0,12.0,-0.6890507954545455,History,13681765.0
98000000.0,119.0,5.7,137.0,7.284477,1995.0,12.0,-0.8977824285714285,Action,10017322.0
52000000.0,178.0,7.8,1343.0,10.137389,1995.0,11.0,1.2329302884615385,Drama,116112375.0
16500000.0,136.0,7.2,364.0,10.673167,1995.0,12.0,7.181818181818182,Drama,135000000.0
4000000.0,98.0,6.5,539.0,9.026586,1995.0,12.0,0.075,Crime,4300000.0
30000000.0,90.0,6.1,1128.0,8.205448,1995.0,11.0,6.079517766666667,Crime,212385533.0
60000000.0,103.0,5.4,224.0,7.337906,1995.0,11.0,-0.40948145,Action,35431113.0
30250000.0,105.0,6.4,305.0,12.669608,1995.0,10.0,2.805012297520661,Comedy,115101622.0
50000000.0,132.0,6.0,394.0,11.065939,1995.0,10.0,-0.39393856,Action,30303072.0
3600000.0,112.0,7.1,365.0,10.332025,1995.0,10.0,12.833333333333334,Drama,49800000.0
12000000.0,100.0,6.6,91.0,8.681325,1995.0,10.0,1.2833333333333334,Comedy,27400000.0
18000000.0,108.0,7.6,308.0,9.822423,1995.0,5.0,-0.9034105,Fantasy,1738611.0
29500000.0,129.0,7.4,2470.0,12.297305,1995.0,12.0,4.7233898305084745,Science Fiction,168840000.0
30000000.0,89.0,6.0,756.0,14.404764,1995.0,7.0,7.4711636666666665,Fantasy,254134910.0
11000000.0,122.0,7.3,350.0,6.891317,1995.0,12.0,2.5785122727272727,Drama,39363635.0
18000000.0,101.0,5.4,452.0,10.870138,1995.0,8.0,5.788662222222222,Action,122195920.0
20000000.0,106.0,6.7,177.0,10.448481,1995.0,5.0,0.0642257,Fantasy,21284514.0
10000000.0,116.0,6.5,38.0,4.485958,1995.0,10.0,1.357413,Drama,23574130.0
33000000.0,127.0,8.1,5915.0,18.45743,1995.0,9.0,8.918541181818181,Crime,327311859.0
55000000.0,81.0,6.7,1509.0,13.280069,1995.0,6.0,5.292359509090909,Adventure,346079773.0
6000000.0,106.0,8.1,3334.0,16.302466,1995.0,7.0,2.890261333333333,Drama,23341568.0
15000000.0,95.0,6.7,145.0,15.899134,1995.0,9.0,-0.5533333333333333,Comedy,6700000.0
3500000.0,91.0,7.0,513.0,14.56965,1995.0,4.0,7.061690857142857,Comedy,28215918.0
19000000.0,108.0,6.9,1644.0,15.339153,1996.0,1.0,0.3598218947368421,Horror,25836616.0
50000000.0,91.0,4.1,54.0,5.912223,1995.0,11.0,-0.76931046,Action,11534477.0
15000000.0,90.0,3.9,16.0,2.936443,1996.0,1.0,-0.8638313333333333,Comedy,2042530.0
20000000.0,108.0,6.1,154.0,12.758848,1995.0,9.0,-0.71090575,Horror,5781885.0
8000000.0,116.0,6.7,87.0,4.486179,1995.0,12.0,-0.93377925,Drama,529766.0
38000000.0,129.0,6.3,86.0,9.568604,1996.0,2.0,-0.7289473684210527,Action,10300000.0
8169363.0,90.0,6.1,190.0,6.848591,1995.0,11.0,0.0007323704430810578,Crime,8175346.0
47000000.0,104.0,5.7,77.0,12.866139,1996.0,2.0,-0.7366084680851064,Drama,12379402.0
14000000.0,100.0,4.5,113.0,9.071127,1995.0,10.0,0.4142857142857143,Comedy,19800000.0
50000000.0,108.0,5.7,459.0,14.957626,1996.0,2.0,2.00540294,Action,150270147.0
7000000.0,91.0,6.8,285.0,6.904831,1996.0,2.0,-0.9199901428571429,Comedy,560069.0
12000000.0,92.0,6.5,767.0,9.592265,1996.0,2.0,2.43375825,Comedy,41205099.0
24000000.0,135.0,7.3,397.0,5.951077,1995.0,5.0,6.584025708333333,Drama,182016617.0
72000000.0,177.0,7.7,3404.0,20.755149,1995.0,5.0,1.9166666666666667,Action,210000000.0
1300000.0,114.0,8.1,2632.0,14.092713,1976.0,2.0,20.74044153846154,Crime,28262574.0
7500000.0,91.0,6.5,245.0,12.314278,1995.0,1.0,3.3189396,Crime,32392047.0
25000000.0,113.0,5.1,7.0,1.522412,1995.0,9.0,-0.74887444,Comedy,6278139.0
